字段1,字段1链接,字段2,字段3,字段5,字段6,字段4
国家能源集团入选“2022年度中央企业品牌建设能力TOP30”,https://www.cctd.com.cn/show-22-235072-1.html,2023-07-25,,国家能源集团入选“2022年度中央企业品牌建设能力TOP30”,"来源：中国煤炭网
					
					发布时间：2023-07-25 10:45:51
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，国务院国资委社会责任局公布了2022年度中央企业品牌建设对标情况，国家能源集团获评“2022年度中央企业品牌建设能力TOP30”第15名。
　　2022年，国家能源集团发布RISE集团品牌战略，统筹推进集团品牌、产业品牌、公司品牌、产品服务品牌和要素品牌五级品牌大厦建设，一体化实施理念立品、管理树品、融合铸品、传播响品和保障促品五项提升工程，不断提升品牌建设能力，加快创建一流品牌。国家能源集团在实践中深化研究，开展了《一个RISE品牌战略，一个实现集团品牌卓著的逻辑贡献》课题（获中央企业党建思想政治工作研究会2022年度优秀课题研究成果一等奖），出版发行了《企业集团品牌战略——国家能源集团RISE品牌战略探索与实践》等系列成果，分享品牌建设的国能经验，获得上级单位、知名高校、权威机构的推荐。
　　2023年，国家能源集团落实国资委部署，把品牌作为提高企业核心竞争力的关键环节，强化品牌专项行动，锚定“全球可持续能源典范”定位，引领全集团勇做“四个领军”、奋力“六个担当”，在企业高质量发展中建设、维护、传播品牌，打造价值领先、管理科学、贡献突出、生态优良的卓著品牌。"
7月中旬全国煤炭价格均呈上涨态势,https://www.cctd.com.cn/show-361-235070-1.html,2023-07-25,,7月中旬全国煤炭价格均呈上涨态势,"来源：国家统计局
					
					发布时间：2023-07-25 09:52:03
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","国家统计局日前公布的数据显示，7月中旬全国煤炭价格均呈上涨态势，不过涨幅都不大。各煤种具体价格变化情况如下：
　　无烟煤（洗中块，挥发份≤8%）价格1192.1元/吨，较上期上涨7.9/吨，涨幅0.7%。
　　普通混煤（山西粉煤与块煤的混合煤，热值4500大卡）价格658.9元/吨，较上期上涨9.2元/吨，涨幅1.4%。
　　山西大混（质量较好的混煤，热值5000大卡）价格为758.3元/吨，较上期上涨9.7元/吨，涨幅1.3%。
　　山西优混（优质的混煤，热值5500大卡）价格为859.0元/吨，较上期上涨10.4元/吨，涨幅1.2%。
　　大同混煤（大同产混煤，热值5800大卡）价格为906.0元/吨，较上期上涨11.1元/吨，涨幅1.2%。
　　焦煤（主焦煤，含硫量<1%）价格为1771.4元/吨，较上期上涨96.4元/吨，涨幅5.8%。
　　从上述数据可以看出，7月中旬，动力煤、无烟煤价格继续小幅上涨，焦煤也出现了较为明显的涨势。
　　此外，7月中旬全国焦炭（准一级冶金焦）价格1877.2元/吨，较上期上涨48.4元/吨，涨幅2.6%。"
CCTD直播预告：下半年进口煤增量及持续性如何？,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=694&id=235069,2023-07-25,,CCTD直播预告：下半年进口煤增量及持续性如何？,"来源：中国煤炭市场网
					
					发布时间：2023-07-25 09:47:54
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","提前【预约】不迷路！
		 
	
	开播后
	【直播入口】

好礼周周抽，煤炭人速速来！
关注CCTD，下次活动秒入！"
数字技术助力煤炭产业加速蝶变,https://www.cctd.com.cn/show-176-235068-1.html,2023-07-25,,数字技术助力煤炭产业加速蝶变,"来源：山西日报
					
					发布时间：2023-07-25 09:42:59
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","数字技术、数字经济是世界科技革命和产业变革的先机，当数字技术融入煤炭这一传统产业，会产生怎样的产业蝶变？
　　7月14日，在山西长治联盛首阳山煤业有限公司集中控制中心的远程操作控制台上，工作人员正从容地察看着井下掘进机进行无人化截割。
　　该矿掘进机智能化工作由中国联通智慧矿山军团（山西）牵头总包组织实施，掘进面基于中国联通5G煤矿专网，突破了炮头转速自动调整、掘进机自动移位等行业难题，实现了掘进机在掘进过程中常态化的无人操控作业，相关智能化技术正在向周边富煤省份复制推广。
　　加快煤炭产业和数字技术一体化融合发展，是抢抓当前机遇期窗口期，加快推进能源产业数字化转型的迫切之需。省委提出，要推动能源产业“五个一体化”融合发展，推进煤炭智能绿色安全开采和清洁高效综合利用，促进煤炭产业可持续发展，努力在能源革命上走在排头、作出示范。近年来，山西省稳步推进煤矿智能化建设，煤矿“数智”升级步伐不断加快，为煤炭产业高质量发展注入了强劲动力。
　　推动数实融合，加快能源领域数字技术创新应用
　　抢抓机遇，合作共赢。3月15日，省政府与华为技术有限公司在太原签署了推进数字经济发展战略合作协议。根据协议，双方将重点在推动煤炭工业互联网和智能矿山建设、加快能源产业绿色低碳转型等领域深化合作交流。由此，标志着山西省与华为公司的合作进入新阶段，也标志着山西省在数实融合、数字赋能特别是煤矿智能化开采方面迈出了新的步伐。
　　近年来，山西加快数字技术向更深层次、更广领域渗透融合，全省数字经济加速发展，向更大规模、更高质量、更优结构、更强动力持续迈进。在省工信厅2023年实施的制造业振兴“229”工程中，提出要推进数字转型赋能等9大专项行动，奋力打造中部地区先进制造业基地和数字经济创新发展高地。
　　当前，山西省数字基础设施发展势头良好。截至今年5月，全省累计已建成5G基站7.6万个，万人用5G基站数量居全国第一方阵，53座煤矿开展5G“进矿—下井—到面”应用实践。全省建成工业互联网平台60余个，7个工业互联网标识解析二级节点与国家顶级节点实现对接，覆盖煤炭等多个行业领域。国家先进计算（太原）中心正式建成运行，全省数据中心规模、上架率等关键指标位居全国前列。
　　数字经济时代，产业数字化转型势在必行，也是必由之路。作为煤炭产业来说，尤其如此。3月底，国家能源局发布了《关于加快推进能源数字化智能化发展的若干意见》，进一步提出以数字化智能化技术带动煤炭安全高效生产。6月初，省发改委印发了《关于煤炭产业和数字技术一体化发展的指导意见》，明确提出，通过数实融合、数智赋能，推动5G、物联网、人工智能、大数据、工业互联网、高清视频等新一代数字技术与煤炭产业一体化发展，促进煤炭上下游产业协同，推动安全与效率的双提升，将煤炭产业打造为山西省能源领域数字化转型排头兵。
　　如何让数字技术更好地为能源产业转型升级助力赋能？有专家建议，政府和企业应加强合作，共同推动数字技术创新应用在能源领域的发展。通过建立数字技术创新平台、加强产学研合作、推动标准制定、支持创新型企业以及加强人才培养和引进等方面的努力，可促进数字技术创新应用在能源领域的发展，从而推动能源产业高质量发展。
　　积极探索实践，煤矿智能化建设步伐不断加快
　　笃志前行，虽远必达。多年来，山西省煤炭产业锚定“减人、增安、提效”核心目标，紧扣建设智慧煤矿这一战略方向，大力开展技术革命、转型升级，加速推进煤矿智能化建设。
　　在山西焦煤西山煤电斜沟矿，建成了安全生产经营数字化管控平台。该平台汇聚了井上井下各分支系统监控点的视频流、数据流、信息流，与矿区27个子系统实现无缝连接，运用物联网、大数据、人工智能等智能化新技术，实现全矿井的数据采集、生产调度、经营管理、决策指挥，将安全生产管理和控制运行在一个平台之上，为矿山装上了智慧“大脑”。
　　在潞安化工集团，高河能源近年来建设完成了5G+“一张网”融合通信平台、云数据中心、智能管控平台，多个智能化综采、掘进工作面和N个智能化子系统。企业通过智能化建设，全面提高了矿井安全管理与生产经营水平；新元公司则全力打造行业领先水平的5G+智能化矿井，通过5G+工业互联网助力煤矿智能发展，目前综采工作面、固定皮带运输、井下供电、矿井排水等系统减少岗位操作人员400余人，实现了安全和效益双提升。
　　近年来，山西省将“加快煤矿智能化改造”列为能源革命综合改革试点重大事项之一，在全省同步推进“两个转型”、加快促进数字经济全面发展的背景下，煤矿智能化建设全面推进。2020年以来，先后出台了煤矿智能化建设实施意见、建设规范、评定方法、指导手册等一系列政策文件和规范标准，率先形成了从建设到评定的标准体系，煤炭产业和数字技术一体化发展走在了全国前列。截至目前，已累计建成46座智能化煤矿、1200处智能化采掘工作面，全省煤矿共有3000余处固定岗位实现无人值守，采掘效率大幅提升，煤炭行业高质量发展迈出坚实步伐。在国家能源局最新公布的全国煤炭智能化建设典型案例中，我省有16项案例入选，占全部案例的20%，山西煤矿智能化建设的成效由此可见一斑。
　　此外，华为煤矿军团全球总部落户太原晋阳湖畔，推出矿山鸿蒙操作系统；中国移动携手合作伙伴成立5G智慧矿山联盟，联合潞安化工集团打造5G“智矿通”；精英数智、科达自控等一批根植煤矿智能化领域多年的本土信息化企业，着力打造完整的智能化应用场景解决方案。这些均为山西省煤矿智能化建设起到了探路领跑的作用。
　　山西省不断出台相关政策，不遗余力推动煤矿智能化建设。今年3月，相继出台了《2023年度全省加快推进煤矿智能化建设工作方案》《煤矿智能化建设评定管理办法》。5月出台的《全面推进煤矿智能化和煤炭工业互联网平台建设实施方案》提出，要充分利用我省煤矿数量多、市场大、智能化应用场景齐全的优势，加大政策支持，吸引一批高新技术企业落户山西；近期出台的《关于煤炭产业和数字技术一体化发展的指导意见》提出，加快全省煤炭产业数字化转型，推动煤炭信息产业集群发展，形成完整领先的煤炭数字化产业链，助力煤炭产业提“智”增效。这些政策文件使得我省煤矿智能化建设的方向和路径更加清晰。
　　产学研共同发力，打造协同发展产业生态体系
　　煤矿“数智”升级涉及方面众多，还需产学研共同努力，打造煤炭产业和数字技术一体化融合发展的协同发展产业生态体系。
　　4月23日，2023年山西省高端装备制造产业链（智能煤机）工作推进会在太原举行。大会搭建“政府—企业—联盟”平台，强化了“链上”企业之间的良性互动，对推进山西省煤机产业智能化转型，产业链供需对接、质效提升具有积极的推动作用。
　　作为山西省首家智能煤机装备产业技术联盟理事长单位，晋能控股装备制造集团联合太原理工大学、太重煤机等60家业内知名企业、高校、科研机构，组成了“山西省智能煤机装备产业技术联盟”。通过构建“产—学—研—用”创新链条，搭建“共建共享共赢”的服务、研发、技术转移和产业化平台，协同解决综采智能化技术、数据融合交换等技术难题，以产学研用一体的产业联合生态体系，带动煤机制造产业高端化、智能化、绿色化、集群化、融合化、服务化发展。
　　该企业强化协作研发，依托“链核”“链上”企业及联盟成员单位优势，加大技术、信息交流力度。他们与天巨重工合作研制的“掘锚一体化快速掘进机装备”已成功投运；与太原理工在特厚煤层安全高效智能化开采、智能化快速掘进成套装备等方面开展合作研究。此外，太重煤机与山西科达自控公司、太原科技大学在“无线高可靠性综采工作面控制系统关键技术、智能机器人视觉环境感知关键技术研发与应用”等方面开展深入合作，全力提高智能煤机装备产业发展的技术水平、研究水平。
　　煤炭产业“数智”升级也为通信企业加快融入数字经济新发展格局提供了广阔舞台。近年来，山西联通建设了全国首个井下5G项目庞庞塔煤矿、全国首个5G+智能综采项目乡宁台头煤矿。去年5月，中国联通智慧矿山军团正式落户山西以来，立足山西、服务全国，依托庞庞塔标杆，形成了智慧矿山建设的感知、基础设施、数据服务、应用四层架构解决方案，更多技术应用深入综采、掘进等核心生产环节，服务全国10多个省份、30多家能源集团、150多个矿企，为矿山全面数字化转型发展作出积极贡献。
　　然而，业内专家表示，目前我国矿山行业数字化生态体系尚处在雏形阶段，煤矿智能化建设仍任重而道远。煤矿依然是高危行业，许多常规技术受到限制，还有许多技术难题等着攻克，存在诸如数据标准不统一、数据孤岛，数据没有得到充分利用、产生更大价值，5G还没有与现场深度融合等问题。
　　但是，相信随着各级政府部门支持推进力度的不断加大，煤炭企业和相关信息技术设备供应等企业的共同努力，山西省煤炭产业和数字技术定能加快融合，为山西加快能源革命综合改革试点步伐，实现行业高质量发展作出应有的贡献。"
煤炭新货种在滨州港西港公司正式落地,https://www.cctd.com.cn/show-41-235067-1.html,2023-07-25,,煤炭新货种在滨州港西港公司正式落地,"来源：滨州网
					
					发布时间：2023-07-25 09:40:19
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，满载5000吨煤炭的“华皓98轮”停靠滨州港西港码头3#4#泊位并顺利完货离泊，用时4个小时，这标志着煤炭新货种在滨州港西港公司正式落地。

　　随着今年煤炭产能不断释放，滨州港西港业务人员全面摸排煤炭市场，抢抓市场发展机遇，牵头攻坚腹地电厂、钢厂、热力公司等动力用煤企业，在了解区域内企业用煤需求后，业务人员主动出击，积极促成煤炭转水业务，实现货源新突破。多年以来，铝矾土作为西港的支柱性货源，货种单一，回款账期长，营收能力弱等因素是一直以来制约其发展的主要原因，今年西港公司不断寻求新货源，拓展市场空间，加强市场信息研判，做好货源增量工作，以沙石料，煤炭为辅助货源，打造百万货种组合，大力提升平均单吨费率，截至目前，西港公司吞吐量完成150万吨，同比增长100%。
　　下一步，公司将不断提升服务质量和客户满意度，坚决完成公司制定的全年目标，为滨州腹地企业提供经济便捷的港口服务，为城市的经济发展做出更大的贡献，为集团高质量发展打下坚实基础。"
上半年海口海关监管进口煤炭货值84.8亿元,https://www.cctd.com.cn/show-114-235066-1.html,2023-07-25,,上半年海口海关监管进口煤炭货值84.8亿元,"来源：海南特区报
					
					发布时间：2023-07-25 09:38:43
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",近日，装载着64500吨煤炭的中国籍船舶“广茂”（GUANG MAO）轮缓缓靠泊八所港。这是今年八所海关监管的第38批次进口煤炭。今年上半年，海口海关共监管进口煤炭货值84.8亿元，同比增长1.9倍。
郑州市辖区煤矿采掘机械化率达到90.4%,https://www.cctd.com.cn/show-176-235064-1.html,2023-07-25,,郑州市辖区煤矿采掘机械化率达到90.4%,"来源：郑州市委宣传部
					
					发布时间：2023-07-25 09:36:03
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","记者从郑州市煤炭管理事务中心了解到，近日，为认真贯彻落实全市煤矿安全生产重点工作推进会会议精神，全面掌握全市煤矿采掘机械化程度、智能化改造和安全投入情况，摸清全市煤矿技术装备升级改造及淘汰落后工艺设备现状，郑州市煤炭管理事务中心在全市全面开展了煤矿技术装备升级改造摸底调查工作，通过对辖区所属煤矿的深入摸底调查，圆满完成了摸底调查工作。
　　此次摸底调查工作严格落实“向装备要安全、向综采要安全、向机械化要安全、向投入要安全”的工作要求，对全市所有矿井采掘作业头面机械化现状、智能化改造进展和安全投入情况进行了了全面统计。目前，我市辖区现有采掘工作面的46家煤矿共有采煤工作面52个，其中综采工作面47个，机械化率达到90.4%；全市所属煤矿列入计划的智能化改造项目达358个，技术装备升级改造计划投入资金7.52亿元，目前已实现资金投入2.6亿元。
　　据悉，通过此次摸底调查，进一步摸清了辖区煤矿生产工艺和技术装备状况，为下一步促进煤矿积极提高科技投入、加大装备升级力度奠定了基础。同时也为下一步督促辖区煤矿加快技术装备改造步伐提供了基础依据。"
CCTD：降水增多 沿海日耗平淡,https://www.cctd.com.cn/show-42-235062-1.html,2023-07-25,,CCTD：降水增多 沿海日耗平淡,"来源：中国煤炭市场网
					
					发布时间：2023-07-25 09:34:12
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","上周市场情况综述
　　产地方面，上周主产地价格上涨为主，榆林地区表现偏强，内蒙、山西小幅跟涨。生产情况来看，鄂尔多斯伊旗开展安全生产百日攻坚专项行动，山西近期安全事故较多，但前期部分停产整顿煤矿已接近复产，另榆林明盘项目本月有所进展，主产地整体供应受到影响有限。需求方面，上周水电相对乏力，终端需求高位，拉运相对积极，但持续上涨后周五排队车辆有所减少。非电需求维持刚需采购，部分化工企业补库积极。汽运方面，上周中长途发运需求维持正常水平，运费以稳为主；铁运方面，大秦线运力小幅提升，呼铁局运量低位回升。
　　港口方面，上周小幅上涨。北港可贸易库存仍相对偏少，调入调出量均维持在200万吨左右。随着价格反弹，市场分歧有所加大，上周四下午起市场询价减少，氛围转弱。沿海终端日耗也随着华东、华南气温阶段性回落而降低，终端仍以长协拉运为主，市场煤成交有限。下游派船积极性不高，沿海运费低位回落。终端电厂库存去化缓慢，南方及江内库存仍处高位，进口煤到港补充作用明显，但库存偏高状态下，终端企业对远期预售采购较为谨慎。西南近期降水尚可，但整体水库流量较旺季仍有差距，水电出力延续不足。
　　本周市场行情研判
　　本周产地市场预计稳中偏弱，关注日耗情况。近期主产区供应一定程度受到安监影响，本周临近月底产量或保持月内低位，但下月初或将逐步恢复。内陆日耗目前表现尚可，较前两年均维持小幅增长。本周全国范围降雨偏多，或一定程度缓解火电压力，水电相对乏力状态仍或延续，日耗预计保持高位。内陆终端企业库存去化速度较往年接近，但库存绝对数量仍然偏高，一旦日耗不及预期，后期去库压力将较为明显。上周大集团外购价格提涨一定程度支撑了产地市场情绪，但港口已有转弱迹象，本周或将传导至产地市场。预计本周产地日耗难以再上台阶，产地港口倒挂明显，产地价格或将稳中偏弱。
　　本周港口市场预计稳中偏弱，关注终端库存。近期沿海日耗脉冲式爆发随着气温回落而结束，同时进口到港尤其高卡煤仍然偏多，终端企业库存也并未去化。本周沿海区域受台风影响，日耗难有突出表现，上周四起市场煤采购意愿已有所转弱，下游派船有限。近期水电站流量相对旺季偏低，水电出力持续不及预期，沿海火电负荷压力较大。部分贸易商仍博弈八月上半月日耗旺季表现，北港市场煤资源持有较为集中，短期回落空间也相对有限。水泥、化工、陶瓷等非电需求表现平平，普遍预计8月火电需求旺季结束后市场将下行，因此不急于补库。目前华东、华南港口库存依旧偏高，考虑到进口到港仍然偏多，终端库存去化速度并不乐观。本周港口价格或稳中偏弱。（作者：书豪）"
2023年1-6月份电力工业运行简况,https://www.cctd.com.cn/show-19-235061-1.html,2023-07-25,,2023年1-6月份电力工业运行简况,"来源：中电联统计与数据中心
					
					发布时间：2023-07-25 09:32:55
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","1-6月，全社会用电量同比增长，第一产业和第三产业用电增长较快；除水电外，其他类型发电量同比增长；核电、火电和风电设备利用小时同比增加，水电和太阳能发电设备利用小时同比降低；全国跨区、跨省送出电量同比增长；全国基建新增发电装机容量同比增加，其中新能源增加超过70%；电力完成投资较快增长。
一、全社会用电情况
1-6月，全国全社会用电量43076亿千瓦时，同比增长5.0%。分产业看①，第一产业用电量577亿千瓦时，同比增长12.1%，占全社会用电量的比重为1.3%，对全社会用电量增长的贡献率为3.0%；第二产业用电量28670亿千瓦时，同比增长4.4%，占全社会用电量的比重为66.6%，对全社会用电量增长的贡献率为59.7%；第三产业用电量7631亿千瓦时，同比增长9.9%，占全社会用电量的比重为17.7%，对全社会用电量增长的贡献率为33.5%；城乡居民生活用电量6197亿千瓦时，同比增长1.3%，占全社会用电量的比重为14.4%，对全社会用电量增长的贡献率为3.8%。

2022、2023年分月全社会用电量及其增速
6月份，全国全社会用电量7751亿千瓦时，同比增长3.9%。分产业看，第一产业用电量同比增长14.0%；第二产业用电量同比增长2.3%，其中，工业用电量同比增长2.4%；第三产业用电量同比增长10.1%，其中，租赁和商务服务业、住宿和餐饮业、批发和零售业、交通运输/仓储和邮政业用电量同比增速超过10%；城乡居民生活用电量同比增长2.2%。
二、发电生产情况
截至6月底，全国发电装机容量27.1亿千瓦，同比增长10.8%。其中，非化石能源发电装机容量13.9亿千瓦，同比增长18.6%，占总装机容量的51.5%，占比同比提高3.4个百分点。水电4.2亿千瓦，同比增长4.5%。火电13.6亿千瓦，同比增长3.8%。核电5676万千瓦，同比增长2.2%。风电3.9亿千瓦，同比增长13.7%。太阳能发电4.7亿千瓦，同比增长39.8%。 
1-6月份，全国规模以上电厂发电量②41680亿千瓦时，同比增长3.8%。其中，水电发电量4504亿千瓦时，同比下降22.9%；火电发电量29457亿千瓦时，同比增长7.5%；核电发电量2119亿千瓦时，同比增长6.5%。
三、发电设备利用小时情况
1-6月份，全国发电设备累计平均利用小时1733小时，比上年同期降低44小时。

2005年以来历年1-6月份利用小时情况
分类型看，1-6月份，全国水电设备平均利用小时为1239小时，比上年同期降低452小时。在水电装机容量排前10的省份中，除广东外，其他省份水电设备平均利用小时均同比降低，其中，湖南、贵州、广西、湖北、云南和福建降低超过500小时，浙江、青海和四川降低超过300小时；全国火电设备平均利用小时为2142小时，比上年同期增加84小时。分省份看，全国有16个省份的火电设备利用小时超过全国平均水平，其中四川、新疆、重庆超过2500小时；全国核电设备平均利用小时3770小时，比上年同期增加97小时；全国并网风电设备平均利用小时1237小时，比上年同期增加83小时；全国太阳能发电设备平均利用小时658小时，比上年同期降低32小时。
四、全国跨区、跨省送出电量情况
1-6月份，全国跨区送电完成3654亿千瓦时，同比增长11.7%，其中本月送出698亿千瓦时，同比下降2.9%。全国各省送出电量合计8199亿千瓦时，同比增长6.1%，其中本月送出1580亿千瓦时，同比下降2.5%。
五、新增装机情况
1-6月份，全国基建新增发电生产能力14096万千瓦，比上年同期多投产7186万千瓦。其中，水电536万千瓦、火电2602万千瓦、核电119万千瓦、风电2299万千瓦、太阳能发电7842万千瓦。
六、电力投资完成情况
1-6月份，全国主要发电企业电源工程完成投资3319亿元，同比增长53.8%。其中，水电392亿元，火电392亿元，核电359亿元，风电761亿元，太阳能发电1349亿元。水电、核电、风电等清洁能源完成投资占电源完成投资的88.2%。
1-6月份，全国电网工程完成投资2054亿元，同比增长7.8%。
注释：
①  从2018年5月份开始，三次产业划分按照《国家统计局关于修订<三次产业划分规定(2012)>的通知》（国统设管函〔2018〕74号）调整，为保证数据可比，同期数据根据新标准重新进行了分类。
②  发电量指标数据是国家统计局统计的规模以上工业企业发电量。"
湖北能源两座水电站发电量创新高,https://www.cctd.com.cn/show-19-235060-1.html,2023-07-25,,湖北能源两座水电站发电量创新高,"来源：湖北能源
					
					发布时间：2023-07-25 09:32:12
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","6月，湖北能源溇水水电公司江坪河电厂月度发电量达到2.06亿千瓦时，创下机组投产发电以来单月发电量的最高记录。7月2日，溇水水电公司锁金山电厂发电量达130.31万千瓦时，刷新该厂单日发电量历史最高记录。
　　湖北能源称，进入主汛期后，如何在安全度汛的前提下发好每一度电成为溇水水电公司的主要工作任务。公司坚决守牢安全底线红线，稳步推进设备检修和防洪度汛各项工作，强化流域水电站设备设施管理，全力推进精细化调度，着力提升机组可靠性，为多发电、发好电打下坚实基础。
　　江坪河电厂加强设备运行参数监控，做好设备运行参数分析，针对机组长时间运行开展特巡，及时消除设备隐患，提高机组运行可靠性。同时密切关注天气变化，积极与国网华中分部调度控制中心沟通，合理安排发电计划，努力实现精准调度。
　　随着新能源的快速发展，常规水电面临电网出口断面负荷受限、运行方式及负荷调整频繁等诸多新问题、新挑战。作为湖北能源唯一的径流式电厂，锁金山电厂主动适应变化，转变思路找出路，强化水雨情预测分析精准性，利用仅5万立方米的有限调节容量进行水量调整，科学制定每日发电计划；加强与宜昌地调的沟通协调，及时根据电网情况及新能源出力情况进行计划调整；及时多渠道获取电网运行信息，在新能源夜间低谷期抢发电，加强精准调度，科学利用好每一方水。"
上半年宁夏煤炭产量4840万吨,https://www.cctd.com.cn/show-361-235058-1.html,2023-07-25,,上半年宁夏煤炭产量4840万吨,"来源：宁夏日报
					
					发布时间：2023-07-25 09:31:19
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","今年上半年，宁夏全区煤炭产量4840万吨，日产量均维持在25万吨以上，达到历史最高；27家统调电厂电煤库存平均可用天数20天以上，电煤库存保持高位，天然气供需平衡，油品供应充足。
　　据了解，今年以来，宁夏上下按照自治区党委、政府工作部署，统筹发展和安全，统筹供需两侧、当前和长远，统筹传统能源和新能源、区内和外送，全力以赴抓好增产、外购、运输、供应、储备、调控、保障、安全八个方面工作，能源供应平稳有序。
　　上半年，全区发电量达1021亿千瓦时，其中新能源占发电量比重达27.5%，比2022年提高4.1个百分点。在新增项目陆续投产以及在空调负荷带动下，全区整体用电负荷连创新高。上半年，宁夏用电负荷快速增长，统调最大负荷1573万千瓦，创历史新高。全社会用电量666亿千瓦时，同比增长7%，比全国高3个百分点。"
上半年国家能源集团煤炭产量3亿吨 销量4.1亿吨,https://www.cctd.com.cn/show-22-235057-1.html,2023-07-25,,上半年国家能源集团煤炭产量3亿吨 销量4.1亿吨,"来源：国家能源集团
					
					发布时间：2023-07-25 09:29:54
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","国家能源集团7月21日举行的2023年上半年重点工作新闻发布会介绍，上半年集团发电总量、火电发电量均创历史同期新高，其中火电发电量同比增长8.4%，兜底保障能力进一步提升。
　　相关数据显示，上半年，国家能源集团煤炭产量3亿吨，煤炭销量4.1亿吨；发电量5711亿千瓦时；供热量2.8亿吉焦；铁路运输量2.7亿吨；两港装船量1.2亿吨；航运量1.2亿吨；含主要中间品的化工品产量1411万吨。发展投入744亿元，同比增长51.1%。
　　值得一提的是，国家能源集团自产煤月均达到5170万吨、自2021年10月份以来连续21个月保持5000万吨峰值水平。中长期电煤合同履约兑现率超过100%，资源保障能力进一步增强；铁路煤炭运量占国家铁路煤炭发送量的26%，自有港出港量占北方港口下水煤销售量的36%。
　　国家能源集团新闻发言人黄清表示，在能源保供工作中，有三方面亮点事例。
　　第一，做大做优疆煤出区。努力拓渠道、提热值、降运价，当前业务辐射全国16个子分公司，上半年出区总量超712万吨，月均119万吨，同比增长2.6倍，实现了疆煤出区从资源储备向战略供应的重大转变。
　　第二，首次实现路港航全流程反向运输。5月30日，“西煤东运”第二条大通道“路港航”反向综合运输全面贯通，实现“路港航”一体化双向重载多式联运。反向运输充分利用返程空车、空船的富余运能，可推动近2000万吨的“公转铁”运量，为国家交通运输行业节能降碳和运输结构调整工作起到积极的推动作用。
　　第三，国内首创重载铁路基础设施智能运维技术发布。5月24日，国家能源集团首创国内重载铁路基础设施智能运维技术正式发布，标志着我国智慧重载铁路发展取得的重大突破，将引领我国重载铁路进一步向信息化、数字化、智能化转型。
　　在加快可再生能源规模化发展方面，黄清介绍，上半年集团新能源开工854万千瓦、投产552万千瓦，可再生能源在建规模达3981万千瓦，均创历史新高。宁夏中卫“沙戈荒”大基地一期、山东渤中海上风电B2场址、宁东复合光伏基地等一批项目全容量并网。玛尔挡、双江口、旭龙等水电工程提前完成节点目标。
　　会议还明确了集团公司“十四五”末要实现的发展目标：煤炭产能保持6.5亿吨/年；新能源新增装机9000万千瓦以上、力争1亿千瓦，水电新增装机400万千瓦以上；运输通道能力达到6.5亿吨/年、运量6亿吨/年；化工品产能3000万吨左右；综合性一体化产业链发展进一步加强，数字化生态化水平进一步提升，建成国内领先的千亿级国能e购、煤化运供应链平台国能e商、电力服务平台国能e电、能源供应链金融服务平台国能e链；坚持传统产业转型升级和新兴产业规模质量发展，建设一流能源科技领军企业。"
7月中旬全国流通市场钢材价格再度下跌,https://www.cctd.com.cn/show-18-235056-1.html,2023-07-25,,7月中旬全国流通市场钢材价格再度下跌,"来源：国家统计局
					
					发布时间：2023-07-25 09:28:38
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","统计局发布的数据显示，2023年7月中旬，全国流通市场钢材价格再次进入下跌通道。具体如下：
　　螺纹钢（Φ20mm，HRB400E）价格为3684.8元/吨，较上期（7月上旬，下同）下降23.4元/吨，降幅0.6%，而上期为涨幅0.1%。
　　线材（Φ8-10mm，HPB300）价格3882.4元/吨，较上期下降27.4元/吨，降幅0.7%，而上期为涨幅0.1%。
　　普通中板（20mm，Q235）价格4044.8元/吨，较上期下降21.2元/吨，降幅0.5%，而上期为涨幅0.1%。
　　热轧普通板卷（4.75-11.5mm，Q235）价格3889.8元/吨，较上期下降12.1元/吨，降幅0.3%，而上期为涨幅0.4%。
　　无缝钢管（219*6，20#）价格4675.5元/吨，较上期下降7.2元/吨，降幅0.2%，而上期为涨幅0.2%。
　　角钢（5#）价格4045.7元/吨，较上期下降16.2元/吨，降幅0.4%，而上期为涨幅1.1%。
　　因流通市场主流规格品变化，为提高监测产品代表性，2023年1月上旬起，部分产品规格型号有所调整，涨跌幅按可比价格计算。"
6月份国内市场钢材价格由降转升,https://www.cctd.com.cn/show-18-235055-1.html,2023-07-25,,6月份国内市场钢材价格由降转升,"来源：中国钢铁工业协会
					
					发布时间：2023-07-25 09:27:51
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","煤炭,煤炭价格,焦煤,焦炭,动力煤,焦炭价格,无烟煤,焦煤价格"
